Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
January;33;Musician;88362.46;7255.538333;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;17;5;11.01;4;Good;325.93;26.64350552;NA;No;211.1843903;185.3272952;569.0421478;Good
February;33;Musician;88362.46;7255.538333;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;10;9.01;4;Good;325.93;36.5905132;30 Years and 9 Months;No;211.1843903;472.7754275;321.5940155;Good
March;33;Musician;88362.46;;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;17;8;11.01;4;Good;325.93;26.86579943;30 Years and 10 Months;No;211.1843903;187.5698797;586.7995633;Standard
April;34;Musician;88362.46;7255.538333;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;8;11.01;4;Good;325.93;31.5286769;30 Years and 11 Months;No;211.1843903;283.3812328;480.9882102;Good
May;34;_______;88362.46;;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;8;11.01;6;;325.93;30.30042098;31 Years and 0 Months;NM;211.1843903;;40.66430409;Good
June;34;Musician;88362.46;7255.538333;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;6;11.01;6;Good;325.93;38.41963348;31 Years and 1 Months;No;211.1843903;214.6101098;579.7593332;Good
July;34;_______;88362.46;7255.538333;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;;11.01;6;Good;325.93;22.7838452;NA;No;211.1843903;354.4591577;419.9102852;Good
August;34;Musician;88362.46;;5;2;8;3;Debt Consolidation Loan, Home Equity Loan, and Personal Loan;15;7;11.01;1251;Good;325.93;36.53896301;31 Years and 3 Months;No;211.1843903;80.07134636;674.2980966;Good
January;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;13;10;3.69;4;Good;191.09;29.14953015;17 Years and 1 Months;NM;0;227.6187415;1023.886258;Good
February;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;13;10;3.69;4;;191.09;34.34487102;17 Years and 2 Months;No;0;338.7642171;942.7407829;Standard
March;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;13;7;-0.31;4;Good;191.09;32.68206167;17 Years and 3 Months;No;0;545.8997341;755.6052659;Good
April;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;13;7;3.69;4;Good;191.09;44.24642053;17 Years and 4 Months;No;0;10000;1142.147936;Good
May;45;Entrepreneur;118248.6;;5;1;4;0;;13;10;3.69;8;Good;191.09;29.32435284;17 Years and 5 Months;NM;0;670.5779061;600.9270939;Standard
June;45;_______;118248.6;10115.05;5;1;4;0;;13;10;3.69;8;Good;191.09;43.96183939;17 Years and 6 Months;No;0;324.6255705;936.8794295;Good
July;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;13;;4.69;8;Good;191.09;33.22380962;17 Years and 7 Months;No;0;509.4292024;782.0757976;Good
August;45;Entrepreneur;118248.6;10115.05;5;1;4;0;;18;13;3.69;8;Good;191.09;29.42716484;17 Years and 8 Months;NM;0;614.4651135;687.0398865;Good
January;26;Scientist;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;10;14.79;7;Standard;1037.45;36.35924552;13 Years and 2 Months;Yes;220.2137267;80.01264638;469.5244602;Standard
February;26;Scientist;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;10;14.79;7;Standard;1037.45;33.18394227;13 Years and 3 Months;Yes;220.2137267;153.4475402;396.0895664;Standard
March;26;Scientist;60162.1;5197.508333;5;7;2607;-100;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;10;18.79;7;Standard;1037.45;30.91438852;13 Years and 4 Months;Yes;220.2137267;184.5531485;364.9839581;Standard
April;26;Scientist;60162.1;;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;12;14.79;9;Standard;1037.45;27.6412103;13 Years and 5 Months;Yes;220.2137267;356.3858247;213.1512819;Standard
May;26;Scientist;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;17;10;14.79;9;;1037.45;32.16686073;13 Years and 6 Months;Yes;220.2137267;96.8446731;452.6924335;Standard
June;26;Scientist;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;11;14.79;9;Standard;1037.45;28.73291735;NA;Yes;220.2137267;450.5601781;118.9769286;Standard
July;26;Scientist;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;13;14.79;9;Standard;1037.45;25.52559354;13 Years and 8 Months;Yes;220.2137267;10000;451.8138963;Standard
August;26;_______;60162.1;5197.508333;5;7;5;7;Student Loan, Student Loan, Student Loan, Debt Consolidation Loan, Home Equity Loan, Debt Consolidation Loan, and Payday Loan;18;10;12.79;9;Standard;1037.45;32.07861888;13 Years and 9 Months;Yes;50812;231.7664674;347.7706392;Standard
January;17;Musician;75273.24;6552.77;8;943;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;9;12.8;6;;2497.34;33.59482507;5 Years and 2 Months;NM;222.6190561;124.6322882;548.0256556;Standard
February;17;Musician;75273.24;6552.77;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;48;9;19.8;6;Standard;2497.34;24.82967191;5 Years and 3 Months;Yes;222.6190561;482.0882842;220.5696597;Poor
March;17;Musician;75273.24;6552.77;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;10;12.8;6;;2497.34;39.15098231;5 Years and 4 Months;Yes;222.6190561;162.1888645;510.4690793;Standard
April;18;Musician;75273.24;6552.77;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;10;12.8;6;;2497.34;38.05213442;5 Years and 5 Months;Yes;222.6190561;170.3151592;512.3427847;Poor
May;18;Musician;75273.24;6424.022011;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;9;12.8;8;Standard;2497.34;35.27464015;5 Years and 6 Months;NM;351.3670447;141.1879102;541.4700337;Standard
June;18;Musician;75273.24;;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;9;12.8;8;Standard;2497.34;37.90870332;5 Years and 7 Months;Yes;351.3670447;76.68731089;595.970633;Poor
July;18;Musician;75273.24;6424.022011;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;10;17.8;8;Standard;2497.34;33.04396326;5 Years and 8 Months;Yes;351.3670447;73.1795427;609.4784012;Poor
August;18;Musician;75273.24;;8;6;32;5;Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, and Home Equity Loan;50;11;12.8;8;Standard;2497.34;39.12441778;5 Years and 9 Months;Yes;351.3670447;369.4917202;343.1662236;Standard
January;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;36;20;18.42;8;Bad;4795.13;35.80248914;2 Years and 11 Months;Yes;169.4819843;479.5857747;70.47299093;Standard
February;18;Media_Manager;54820.89;;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;15;18.42;8;;4795.13;32.59131378;3 Years and 0 Months;Yes;169.4819843;229.8721223;320.1866434;Standard
March;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;17;18.42;8;;4795.13;25.92375905;3 Years and 1 Months;Yes;169.4819843;92.22239678;417.8363689;Standard
April;18;_______;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;15;18.42;8;;4795.13;34.79256617;3 Years and 2 Months;Yes;169.4819843;87.26667315;412.7920925;Standard
May;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;43;17;18.42;11;Bad;4795.13;28.62435875;3 Years and 3 Months;Yes;169.4819843;359.5541628;190.5046029;Standard
June;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;17;18.42;11;Bad;4795.13;35.95384759;3 Years and 4 Months;Yes;169.4819843;;260.3700816;Standard
July;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;17;18.42;11;Bad;4795.13;35.95969334;3 Years and 5 Months;NM;169.4819843;177.131669;332.9270967;Standard
August;18;Media_Manager;54820.89;4295.4075;8;7;28;6;Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Personal Loan;41;17;18.42;11;Bad;4795.13;28.20185655;3 Years and 6 Months;Yes;169.4819843;118.8780759;391.1806898;Standard
January;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;57;23;2.29;;;2425.38;37.340892;13 Years and 1 Months;Yes;116.1034169;121.3798305;484.9722526;Poor
February;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;57;23;1.29;11;;2425.38;25.16742497;13 Years and 2 Months;Yes;39347;262.7332958;393.6187872;Poor
March;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;59;23;6.29;11;Bad;2425.38;36.49072833;13 Years and 3 Months;Yes;116.1034169;182.5464906;463.8055925;Poor
April;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;57;;1.29;11;Bad;2425.38;24.82077382;13 Years and 4 Months;Yes;116.1034169;69.22823275;537.1238503;Standard
May;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;57;23;1.29;11;Bad;2425.38;34.14221724;13 Years and 5 Months;Yes;3864;113.3959015;492.9561816;Standard
June;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;57;25;1.29;11;Bad;2425.38;34.99081327;13 Years and 6 Months;Yes;116.1034169;628.7091521;27.64293096;Standard
July;42;Entrepreneur;58674.66;4824.555;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;62;;3.29;11;;2425.38;37.04101847;13 Years and 7 Months;Yes;116.1034169;250.4828399;395.8692432;Poor
August;4431;Entrepreneur;58674.66;;8;5;15;4;Not Specified, Payday Loan, Auto Loan, and Home Equity Loan;55;23;1.29;11;;2425.38;33.80858373;13 Years and 8 Months;NM;116.1034169;334.2691645;322.0829186;Poor
January;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;20;8.36;;Standard;580.31;26.97596095;24 Years and 3 Months;No;64.84803821;10000;407.2936282;Standard
February;30;Architect;30390.44;;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;23;8.36;4;Standard;580.31;33.55567404;24 Years and 4 Months;No;64.84803821;149.6134397;327.6921888;Standard
March;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;18;8.36;4;Standard;580.31;35.832413;24 Years and 5 Months;No;64.84803821;10000;327.4436392;Standard
April;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;17;8.36;4;Standard;580.31;34.53357345;24 Years and 6 Months;No;64.84803821;60.91459665;396.3910318;Standard
May;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;15;18;8.36;4;Standard;580.31;38.00156519;24 Years and 7 Months;No;64504;169.8763743;307.4292542;Standard
June;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;16;20;8.36;4;Standard;580.31;31.07504071;24 Years and 8 Months;No;64.84803821;225.9197881;271.3858404;Standard
July;30;Architect;30390.44;;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;21;13.36;4;;580.31;26.54289675;24 Years and 9 Months;No;64.84803821;68.78610897;378.5195195;Standard
August;30;Architect;30390.44;2721.536667;5;6;5;4;Mortgage Loan, Student Loan, Not Specified, and Mortgage Loan;19;20;8.36;4;Standard;580.31;22.96052767;NA;No;64.84803821;127.935178;369.3704505;Standard
January;42;Doctor;45207.54;3507.295;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;21;20;9.78;9;Bad;2497.48;26.63171974;16 Years and 4 Months;Yes;148.9132734;39.83022939;401.9859972;Poor
February;42;Doctor;45207.54;3507.295;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;24;22;9.78;9;Bad;2497.48;33.88856426;16 Years and 5 Months;Yes;148.9132734;375.7330662;116.0831604;Poor
March;42;Doctor;45207.54;;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;26;21;4.78;9;Bad;2497.48;24.30177052;16 Years and 6 Months;Yes;148.9132734;10000;407.1341931;Poor
April;42;_______;45207.54;3507.295;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;21;20;9.78;9;Bad;2497.48;29.57534481;16 Years and 7 Months;Yes;148.9132734;131.096168;320.7200586;Poor
May;43;Doctor;45207.54;3507.295;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;25;20;9.78;9;Bad;2497.48;28.94303915;16 Years and 8 Months;Yes;148.9132734;119.0870984;362.7291282;Poor
June;43;_______;45207.54;3507.295;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;24;23;9.78;9;Bad;2497.48;22.50520105;16 Years and 9 Months;Yes;148.9132734;55.56367935;396.2525472;Poor
July;43;Doctor;45207.54;;8;8;24;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;22;20;9.78;9;Bad;2497.48;28.69336879;16 Years and 10 Months;Yes;148.9132734;154.8627585;306.953468;Poor
August;43;Doctor;45207.54;3507.295;8;8;2724;6;Mortgage Loan, Auto Loan, Personal Loan, Student Loan, Home Equity Loan, and Student Loan;24;20;9.78;13;Bad;2497.48;25.09430322;16 Years and 11 Months;Yes;148.9132734;331.9257292;159.8904974;Poor
January;50;Scientist;144546.72;11809.56;0;3;7;2;Payday Loan, and Not Specified;15;7;6.08;1;Good;1045.11;40.84068721;22 Years and 11 Months;No;136.9885566;573.4115905;730.5558529;Standard
February;18;Scientist;144546.72;11809.56;0;3;7;2;Payday Loan, and Not Specified;15;;6.08;1;Good;1045.11;36.33873578;23 Years and 0 Months;No;136.9885566;;1026.919211;Standard
March;18;Scientist;144546.72;11809.56;0;3;7;2;Payday Loan, and Not Specified;15;8;12.08;1;Good;1045.11;43.6110939;NA;No;136.9885566;103.9012093;1180.066234;Standard
April;18;Scientist;144546.72;11809.56;0;3;7;2;Payday Loan, and Not Specified;15;;6.08;1;;1045.11;31.33767968;23 Years and 2 Months;No;136.9885566;205.4748681;1078.492575;Standard
May;18;Scientist;19257912;11809.56;0;3;7;2;Payday Loan, and Not Specified;14;7;6.08;1;Good;1045.11;39.20382495;23 Years and 3 Months;No;136.9885566;10000;14.11872663;Good
June;18;Scientist;144546.72;10653.04311;0;3;7;2;Payday Loan, and Not Specified;15;7;6.08;1;Good;1045.11;37.16404251;23 Years and 4 Months;No;1293.505449;415.1834125;878.7840309;Good
July;18;Scientist;144546.72;10653.04311;0;3;7;2;Payday Loan, and Not Specified;14;5;6.08;1;;1045.11;25.51813894;23 Years and 5 Months;No;1293.505449;893.3631575;430.6042859;Good
August;18;Scientist;144546.72;;0;3;7;2;Payday Loan, and Not Specified;13;7;6.08;1;;1045.11;45.21691024;23 Years and 6 Months;No;1293.505449;226.5089358;1057.458508;Good
January;38;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;27;9;18.8;5;Standard;523.56;28.21235656;8 Years and 4 Months;Yes;96.72128021;145.1083749;313.3565949;Standard
February;39;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;29;9;18.8;5;Standard;523.56;30.28018466;8 Years and 5 Months;Yes;96.72128021;332.4861616;125.9788082;Standard
March;2657;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;29;9;25.8;5;Standard;523.56;38.94962888;8 Years and 6 Months;Yes;96.72128021;106.2992268;342.165743;Standard
April;39;_______;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;24;9;18.8;5;;523.56;30.50811574;8 Years and 7 Months;NM;96.72128021;98.62135851;319.8436113;Standard
May;39;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;29;9;18.8;5;;523.56;32.90975438;8 Years and 8 Months;Yes;57516;106.448575;322.0163948;Standard
June;39;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;27;6;18.8;5;;523.56;28.78678915;NA;Yes;96.72128021;151.6096001;306.8553697;Standard
July;39;Engineer;30346.35;2651.8625;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;26;9;23.8;5;Standard;523.56;40.39063355;8 Years and 10 Months;Yes;96.72128021;99.6284738;348.836496;Standard
August;39;Engineer;30346.35;;5;4;14;7;Auto Loan, Not Specified, Payday Loan, Mortgage Loan, Personal Loan, Payday Loan, and Personal Loan;29;6;18.8;5;Standard;523.56;26.31347756;8 Years and 11 Months;Yes;96.72128021;29.04519318;389.4197766;Standard
January;46;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;8;3.9;1;Good;327.88;27.53134292;30 Years and 9 Months;No;24.82142498;52.09642061;351.5610294;Standard
February;2111;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;5;3.9;1;;327.88;38.90124971;30 Years and 10 Months;NM;24.82142498;140.6547558;283.0026942;Good
March;46;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;8;7.9;3;Good;327.88;27.37775919;30 Years and 11 Months;No;24.82142498;55.33162201;338.325828;Good
April;46;Mechanic;18681.465;;2;3;9;2;Home Equity Loan, and Student Loan;6;;3.9;3;Good;327.88;24.18879867;31 Years and 0 Months;No;24.82142498;90.57533568;333.0821143;Standard
May;47;Mechanic;18681.465;;2;3;9;2;Home Equity Loan, and Student Loan;6;;3.9;3;Good;327.88;31.86689252;31 Years and 1 Months;No;57523;77.79346468;345.8639853;Good
June;47;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;8;3.9;3;Good;327.88;30.12793418;31 Years and 2 Months;No;24.82142498;131.1074314;272.5500187;Good
July;47;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;8;3.9;3;Good;327.88;37.45520315;31 Years and 3 Months;No;24.82142498;32.94987665;360.7075734;Good
August;47;Mechanic;18681.465;1584.78875;2;3;9;2;Home Equity Loan, and Student Loan;6;6;3.9;3;Good;327.88;39.53810864;31 Years and 4 Months;No;24.82142498;10000;209.5576971;Good
January;41;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;16;29.52;8;;4984.82;27.3346898;4 Years and 5 Months;Yes;36.67512792;;263.003361;Standard
February;41;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;65;15;29.52;8;Bad;4984.82;33.4598029;4 Years and 6 Months;NM;36.67512792;55.92433094;256.4117078;Standard
March;41;_______;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;15;31.52;8;Bad;4984.82;35.2517545;4 Years and 7 Months;Yes;36.67512792;;259.4705364;Standard
April;42;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;15;29.52;8;Bad;4984.82;38.7684909;4 Years and 8 Months;Yes;36.67512792;22.70173912;279.6342996;Standard
May;42;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;13;29.52;8;;4984.82;28.49691824;4 Years and 9 Months;Yes;36.67512792;37.94400952;254.3920292;Standard
June;42;Scientist;9841.34;;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;15;29.52;10;Bad;4984.82;34.05642405;4 Years and 10 Months;Yes;35788;74.724782;247.6112567;Standard
July;42;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;15;29.52;10;Bad;4984.82;37.68244007;4 Years and 11 Months;Yes;36.67512792;57.48648105;254.8495577;Standard
August;42;Scientist;9841.34;690.1116667;8;9;31;5;Personal Loan, Payday Loan, Auto Loan, Debt Consolidation Loan, and Debt Consolidation Loan;61;15;29.52;10;;4984.82;37.82197103;5 Years and 0 Months;Yes;36.67512792;20.40645221;271.9295865;Standard
January;35;Media_Manager;72330.98;6300.581667;0;262;11;1;Auto Loan;1;7;4.62;1;Good;596.78;31.87384175;32 Years and 8 Months;No;31.37979416;390.5462005;488.132172;Good
February;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;2;6;4.62;1;Good;596.78;32.36779297;32 Years and 9 Months;No;31.37979416;171.7435332;676.9348393;Good
March;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;1;6;;1;Good;596.78;27.24102191;32 Years and 10 Months;No;31.37979416;110.0671087;728.6112638;Good
April;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;2;6;4.62;1;Good;596.78;30.15846394;32 Years and 11 Months;No;31.37979416;701.6599477;187.0184248;Good
May;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;1;6;4.62;1;Good;596.78;39.60218493;33 Years and 0 Months;No;31.37979416;339.2289211;519.4494514;Good
June;35;_______;72330.98;6300.581667;0;3;11;1;Auto Loan;5;;4.62;1;;596.78;33.41197558;33 Years and 1 Months;No;35022;48.32875329;790.3496192;Good
July;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;1;6;4.62;1;Good;596.78;41.98152541;33 Years and 2 Months;No;44834;147.0251177;691.6532548;Standard
August;35;Media_Manager;72330.98;6300.581667;0;3;11;1;Auto Loan;1;6;4.62;1;Good;596.78;24.83928335;33 Years and 3 Months;No;31.37979416;301.2225183;567.4558542;Good
January;1032;Teacher;43241.49;3580.4575;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;36;17;8.47;10;Bad;2174.16;39.78232874;12 Years and 2 Months;Yes;162.2389631;410.1902491;75.61653778;Standard
February;15;Teacher;43241.49;3580.4575;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;36;19;8.47;10;;2174.16;32.62468106;12 Years and 3 Months;Yes;162.2389631;72.47252535;383.3342616;Poor
March;15;Teacher;22335783;3580.4575;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;36;17;8.47;10;Bad;2174.16;37.35140673;NA;Yes;162.2389631;230.3893891;255.4173978;Standard
April;16;Teacher;43241.49;;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;33;17;7.47;10;Bad;2174.16;24.40758995;12 Years and 5 Months;Yes;162.2389631;179.3559234;286.4508636;Poor
May;16;Teacher;43241.49;3580.4575;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;32;17;8.47;10;Bad;2174.16;31.24773473;12 Years and 6 Months;Yes;162.2389631;63.59658329;372.2102036;Poor
June;16;Teacher;43241.49;3580.4575;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;32;17;;10;Bad;2174.16;32.18200633;12 Years and 7 Months;Yes;162.2389631;134.1245993;351.6821877;Poor
July;16;Teacher;43241.49;3282.269196;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;36;14;8.47;10;Bad;2174.16;27.93484479;12 Years and 8 Months;Yes;460.4272666;50.8316252;394.9751617;Standard
August;16;Teacher;43241.49;3282.269196;10;7;30;6;Credit-Builder Loan, Mortgage Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan;36;17;8.47;10;Bad;2174.16;30.59762389;12 Years and 9 Months;Yes;460.4272666;94.6003948;351.2063921;Standard
January;19;_______;34106.78;2767.231667;8;5;17;0;;8;;10.06;0;Standard;996.54;31.06392082;31 Years and 11 Months;Yes;0;115.1517373;451.5714293;Standard
February;19;_______;34106.78;2767.231667;8;5;1224;0;;8;10;10.06;0;Standard;996.54;38.62751709;32 Years and 0 Months;Yes;0;24.07190317;492.6512635;Standard
March;19;Mechanic;34106.78;2767.231667;8;5;17;0;;8;10;10.06;0;;996.54;23.33248162;32 Years and 1 Months;Yes;0;135.8018888;410.9212778;Standard
April;19;_______;34106.78;2767.231667;8;5;17;0;;8;10;10.06;0;Standard;996.54;40.79135176;32 Years and 2 Months;Yes;0;216.3654359;330.3577308;Standard
